Date_ID,Day,Month,Year,id,name,sex,age,height,weight,team,noc,games,season,city,sport,event,medal
DT00009,21,8,2016,51,Nstor Abad Sanjun,M,23.0,167.0,64.0,Spain,ESP,2016 Summer,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Individual All-Around,
DT00009,21,8,2016,51,Nstor Abad Sanjun,M,23.0,167.0,64.0,Spain,ESP,2016 Summer,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Floor Exercise,
DT00009,21,8,2016,51,Nstor Abad Sanjun,M,23.0,167.0,64.0,Spain,ESP,2016 Summer,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Parallel Bars,
DT00009,21,8,2016,51,Nstor Abad Sanjun,M,23.0,167.0,64.0,Spain,ESP,2016 Summer,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Horizontal Bar,
DT00009,21,8,2016,51,Nstor Abad Sanjun,M,23.0,167.0,64.0,Spain,ESP,2016 Summer,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Rings,
DT00009,21,8,2016,51,Nstor Abad Sanjun,M,23.0,167.0,64.0,Spain,ESP,2016 Summer,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Pommelled Horse,
DT00009,21,8,2016,55,Antonio Abadia Beci,M,26.0,170.0,65.0,Spain,ESP,2016 Summer,Summer,Rio de Janeiro,Athletics,"Athletics Men's 5,000 metres",
DT00009,21,8,2016,65,Patimat Abakarova,F,21.0,165.0,49.0,Azerbaijan,AZE,2016 Summer,Summer,Rio de Janeiro,Taekwondo,Taekwondo Women's Flyweight,Bronze
DT00009,21,8,2016,73,Luc Abalo,M,31.0,182.0,86.0,France,FRA,2016 Summer,Summer,Rio de Janeiro,Handball,Handball Men's Handball,Silver
DT00009,21,8,2016,105,Ilyas Abbadi,M,23.0,175.0,75.0,Algeria,ALG,2016 Summer,Summer,Rio de Janeiro,Boxing,Boxing Men's Middleweight,
DT00009,21,8,2016,110,Abubakar Abbas Abbas,M,20.0,175.0,66.0,Bahrain,BRN,2016 Summer,Summer,Rio de Janeiro,Athletics,Athletics Men's 400 metres,
DT00009,21,8,2016,135,Lois Abbingh,F,23.0,178.0,72.0,Netherlands,NED,2016 Summer,Summer,Rio de Janeiro,Handball,Handball Women's Handball,
DT00009,21,8,2016,141,Clare Abbott,F,30.0,167.0,58.0,Ireland,IRL,2016 Summer,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",
DT00009,21,8,2016,141,Clare Abbott,F,30.0,167.0,58.0,Ireland,IRL,2016 Summer,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",
DT00009,21,8,2016,149,Mara Katherine Abbott,F,30.0,163.0,52.0,United States,USA,2016 Summer,Summer,Rio de Janeiro,Cycling,"Cycling Women's Road Race, Individual",
DT00009,21,8,2016,161,Hossam Abdalla,M,28.0,203.0,97.0,Egypt,EGY,2016 Summer,Summer,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,
DT00009,21,8,2016,203,Ahmed Abdel Naeim,M,31.0,197.0,87.0,Egypt,EGY,2016 Summer,Summer,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,
DT00009,21,8,2016,227,Ahmed Abdelaal,M,27.0,188.0,89.0,Egypt,EGY,2016 Summer,Summer,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,
DT00009,21,8,2016,228,Mahmoud Abdelaal,M,24.0,176.0,60.0,Egypt,EGY,2016 Summer,Summer,Rio de Janeiro,Boxing,Boxing Men's Lightweight,
DT00009,21,8,2016,240,Leila Abdelmoez,F,19.0,160.0,46.0,Egypt,EGY,2016 Summer,Summer,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Team,
DT00009,21,8,2016,246,Mamdouh Abdelrehim,M,26.0,207.0,90.0,Egypt,EGY,2016 Summer,Summer,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,
DT00009,21,8,2016,250,Saeid Morad Abdevali,M,26.0,170.0,80.0,Iran,IRI,2016 Summer,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Bronze
DT00009,21,8,2016,251,Bashir Abdi,M,27.0,176.0,56.0,Belgium,BEL,2016 Summer,Summer,Rio de Janeiro,Athletics,"Athletics Men's 5,000 metres",
DT00009,21,8,2016,251,Bashir Abdi,M,27.0,176.0,56.0,Belgium,BEL,2016 Summer,Summer,Rio de Janeiro,Athletics,"Athletics Men's 10,000 metres",
DT00009,21,8,2016,269,Fawziya Abdoulkarim,F,27.0,180.0,67.0,Cameroon,CMR,2016 Summer,Summer,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,
DT00009,21,8,2016,272,Berik Abdrakhmanov,M,30.0,165.0,60.0,Kazakhstan,KAZ,2016 Summer,Summer,Rio de Janeiro,Boxing,Boxing Men's Lightweight,
DT00009,21,8,2016,273,Maizurah Abdul Rahim,F,17.0,147.0,50.0,Brunei,BRU,2016 Summer,Summer,Rio de Janeiro,Athletics,Athletics Women's 200 metres,
DT00009,21,8,2016,335,Abdulqdir Abdullayev,M,28.0,188.0,91.0,Azerbaijan,AZE,2016 Summer,Summer,Rio de Janeiro,Boxing,Boxing Men's Heavyweight,
DT00009,21,8,2016,338,Muminzhon Abdullayev,M,26.0,190.0,130.0,Uzbekistan,UZB,2016 Summer,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",
